DecoID,Name,Pass,EdgeType,ThemeID,Shape,Description
grw_grass_blade,Grass Blade,EdgeDetail,floor,ALL,poly,Triangular blade growing upward from floor
grw_grass_tip,Grass Stem Bulb,EdgeDetail,floor,ALL,circle+line,Stem with rounded bulb at tip
hang_root_strand,Root Strand,EdgeDetail,ceiling,ALL,line,Curved root hanging down
hang_drip_drop,Water Drip,EdgeDetail,ceiling,ALL,circle,Blue-gray water droplet at root end
cling_moss_patch,Moss Patch,EdgeDetail,wall,ALL,circle,Moss circles adhering to walls
cling_vine,Vine Tendril,EdgeDetail,wall,ALL,line+poly,Vine leaf with connecting line
st_steel_beam,Steel I-Beam,EdgeStructure,any,ALL,composite,I-section beam with flanges and web
st_concrete_chunk,Concrete Chunk,EdgeStructure,any,ALL,poly+line,Irregular jagged concrete with crack line
st_rebar_bundle,Reinforced Bar,EdgeStructure,any,ALL,line_bent,Rusty bent bars sticking out (2-5)
st_pipe_segment,Pipe Segment,EdgeStructure,any,ALL,roundRect+rect,Cylindrical pipe with joint ring
st_girder_outline,Girder Outline,EdgeStructure,any,ALL,line_L+line,L-shaped outline with cross-braces
st_chain_catenary,Chain,EdgeStructure,ceiling,ALL,line+rect,Catenary chain with rectangular links
st_branching_vine,Branching Vine,EdgeStructure,wall,ALL,line_recursive+poly,Recursive 2-3 level branching vine with leaves
hab_cloth_strip,Cloth Strip,EdgeDetail,ceiling,T-HABITAT,line_wavy,2-3 wavy hanging fabric strips (width 3)
hab_wire_bulb,Wired Bulb,EdgeDetail,ceiling,T-HABITAT,line+circle_double,Wire with warm double-glow bulb (4px+2px)
hab_debris_tile,Broken Tile,EdgeDetail,floor,T-HABITAT,poly_triangle,Scattered triangular tile fragments (4-7)
hab_floor_stain,Floor Stain,EdgeDetail,floor,T-HABITAT,circle_faint,Brown water stain circle
hab_wiring_bundle,Wiring Bundle,EdgeDetail,wall,T-HABITAT,line_parallel,3-4 parallel steel wires
hab_pipe_bracket,Pipe Bracket,EdgeDetail,wall,T-HABITAT,line_L,L-shaped pipe support bracket with thickness
hab_vent_grille,Ventilation Grille,EdgeStructure,floor,T-HABITAT,rect+line_v,Large vent (40-80px) with 10 vertical slats
hab_furniture_piece,Broken Furniture,EdgeStructure,floor,T-HABITAT,rect_composite,Table top with leg + concrete fill
hab_cabinet_frame,Wall Cabinet,EdgeStructure,wall,T-HABITAT,rect+line+rect_multi,Cabinet with interior shelf + 4 objects
hab_light_fixture,Light Fixture,EdgeStructure,ceiling,T-HABITAT,rect+rect_glow+line,Large fluorescent (32-64px) with warm glow + 4 cables
span_hab_vert,Vertical Pipe Run,Spanning,vertical,T-HABITAT,line+line_L_repeat,Vertical pipe with L-bracket supports
span_hab_horiz,Cable Bundle Sag,Spanning,horizontal,T-HABITAT,line_catenary_x3,3 parallel wires with independent catenary sag
surf_hab_stain,Water Stain+Scuff,SurfaceOverlay,any,T-HABITAT,circle+line,Floor stain circle + scuff line / wall handprint
emb_hab_pipe,Embedded Pipe+Valve,Embedded,solid,T-HABITAT,roundRect+circle_cross,Horizontal pipe with valve wheel (cross handle)
void_hab_lint,Floating Lint,VoidFill,void,T-HABITAT,line_curled,Curled 3-segment fiber
micro_hab_tuft,Fabric Tuft,Micro,any,T-HABITAT,line_forked,Forked 2-line fiber from single point
sec_warning_stripe,Warning Stripe,EdgeDetail,floor,T-SECURITY,line_diagonal,5-7 alternating yellow-black diagonal stripes
sec_sensor_strip,Floor Sensor,EdgeDetail,floor,T-SECURITY,rect_glow,Blue-glowing floor-mounted sensor strip
sec_rail_bar,Surveillance Rail,EdgeDetail,ceiling,T-SECURITY,rect+composite,Mounting bar with 2 camera pods (arm+housing+blue lens)
sec_laser_line,Laser Line,EdgeDetail,wall,T-SECURITY,line+circle_red,2-4 horizontal laser beams with red emitter dots
sec_barrier_post,Barrier Post Pair,EdgeStructure,floor,T-SECURITY,rect_pair+line_yellow,2 capped posts with 2 hazard tape lines
sec_armored_panel,Armored Panel,EdgeStructure,ceiling,T-SECURITY,rect+circle_bolt+composite,Heavy panel with 6 bolts + camera drop arm + lens
sec_camera_arm,Camera Articulate,EdgeStructure,wall,T-SECURITY,rect+line_angled+circle_lens,Large camera on articulated arm (mount+arm+housing+lens)
sec_gate_frame,Security Gate,EdgeStructure,wall,T-SECURITY,rect_fullheight+line_chevron,Full-height gate with 3 warning chevrons
sec_access_panel,Access Panel,EdgeStructure,wall,T-SECURITY,rect+rect_slot+circle_led,14x14 panel with card slot + 3 status LEDs
span_sec_vert,Vertical Laser,Spanning,vertical,T-SECURITY,line+circle_red_pair,Laser beam with red emitter/receiver dots
span_sec_horiz,Laser Grid,Spanning,horizontal,T-SECURITY,line_parallel+circle_red,2-3 parallel horizontal lasers with emitter dots
surf_sec_scuff,Boot Scuff,SurfaceOverlay,floor,T-SECURITY,line_short,Dark boot scuff mark (floor only)
emb_sec_conduit,Armored Conduit,Embedded,solid,T-SECURITY,rect+circle_blue_x3,Thick conduit bar with 3 blue sensor nodes
fnd_ember_trail,Molten Drip Trail,EdgeDetail,ceiling,T-FOUNDRY,circle_diminishing+circle_halo,4 diminishing orange drops + top glow halo
fnd_scorch_mark,Scorch Mark,EdgeDetail,wall,T-FOUNDRY,circle_char+line_radial,Central char circle + 4-7 radial scorch lines
fnd_hammer_strike,Hammer Strike,EdgeDetail,floor,T-FOUNDRY,circle_concentric+line_radial,Impact crater rings + 5 radial splash lines
fnd_anvil,Anvil Silhouette,EdgeStructure,floor,T-FOUNDRY,poly_trapezoid+poly_horn,Trapezoid body with extending horn
fnd_crucible_tripod,Crucible on Tripod,EdgeStructure,floor,T-FOUNDRY,arc+line_tripod+circle_glow,Half-circle vessel on 3 legs with inner glow
fnd_ingot_mold,Ingot Mold,EdgeStructure,floor,T-FOUNDRY,rect_double+rect_glow,Outer mold frame with inner glowing cavity
fnd_crane_chain,Crane Chain Hook,EdgeStructure,ceiling,T-FOUNDRY,rect_alternating+poly_hook+arc,Chain links (alternating rects) + triangular hook + arc opening
fnd_tongs,Tongs Silhouette,EdgeStructure,wall,T-FOUNDRY,line_crossed+circle_pivot,Two crossing arms with pivot point circle
span_fnd_vert,Heavy Chain Column,Spanning,vertical,T-FOUNDRY,rect_stacked+arc_hook,Stacked chain link rects + bottom hook arc
span_fnd_horiz,Catenary Chain,Spanning,horizontal,T-FOUNDRY,line_catenary,Sagging catenary chain (10 segments)
surf_fnd_rust,Rust Drip Streak,SurfaceOverlay,any,T-FOUNDRY,poly_widening,Widening rust drip pattern (trapezoid)
emb_fnd_gear,Embedded Gear,Embedded,solid,T-FOUNDRY,circle+line_teeth,Gear circle outline with radial teeth
void_fnd_ember,Ember Trail,VoidFill,void,T-FOUNDRY,circle_double+circle_fade_x3,Core ember with 3-step fading tail
micro_fnd_splash,Molten Splash,Micro,any,T-FOUNDRY,poly_teardrop+circle,Teardrop triangle with circle tip
bio_hanging_root,Thick Root,EdgeDetail,ceiling,T-BIOZONE,bezier_thick+line_branch,Long bezier roots (w 3-6) with sub-branches
bio_spore_pod,Hanging Spore Pod,EdgeDetail,ceiling,T-BIOZONE,circle_cluster,Glowing spore pod clusters
bio_tall_grass,Tall Grass,EdgeDetail,floor,T-BIOZONE,poly_blade_tall,Very tall grass blades (5-8 per tile h 10-24)
bio_spore_cloud,Spore Cloud,EdgeDetail,floor,T-BIOZONE,circle_translucent_x14,Dense translucent spore cluster (8-14)
bio_seed_pod,Seed Pod Flower,EdgeDetail,floor,T-BIOZONE,line+circle+poly_petal_x4,Large pod on thick stem with 4 petal triangles
bio_massive_vine,Massive Vine,EdgeDetail,wall,T-BIOZONE,line_recursive_x2+circle,2 recursive branching vines + large moss patches
bio_planter_box,Planter Box,EdgeStructure,floor,T-BIOZONE,rect_outline,Open planter frame outline
bio_culture_tank,Culture Tank,EdgeStructure,wall,T-BIOZONE,rect+circle_top,Vertical tank outline with circle intake cap
bio_irrigation,Irrigation Pipe,EdgeStructure,ceiling,T-BIOZONE,roundRect+rect_joint,Thin round pipe with joint rect
span_bio_vert,Vine Column,Spanning,vertical,T-BIOZONE,bezier+line_branch+poly_leaf,Giant vine with 3-6 branching leaf arms
span_bio_horiz,Sagging Vine,Spanning,horizontal,T-BIOZONE,line_catenary+poly_leaf_hang,Wall-to-wall vine with 3-6 hanging leaf triangles
surf_bio_film,Organic Film,SurfaceOverlay,any,T-BIOZONE,rect_translucent+circle_spore,Translucent organic film (wall) / spore residue (floor)
emb_bio_root,Root Piercing,Embedded,solid,T-BIOZONE,bezier_thick,Root growing through solid wall (bezier w 2-4)
void_bio_chain,Spore Chain,VoidFill,void,T-BIOZONE,circle_connected,Connected circles in arc with linking lines
micro_bio_triplet,Spore Triplet,Micro,any,T-BIOZONE,circle_x3_triangle,3 circles in triangular cluster arrangement
arc_data_shard,Data Shard,EdgeDetail,floor,T-ARCHIVE,poly_triangle+line,Triangular fragments + glowing floor line
arc_hanging_cable,Data Cable,EdgeDetail,ceiling,T-ARCHIVE,line_drift+circle_pulse,3-5 hanging cables with pulse dots at ends
arc_screen_fragment,Screen Fragment,EdgeDetail,wall,T-ARCHIVE,rect_glow+line_scan+line_bus,2-3 glowing screens with scanlines + data bus
arc_server_rack,Server Rack,EdgeStructure,wall,T-ARCHIVE,rect_tall+line_h_x8+circle_led,Full-height rack with 8 drive bays + LED dots
arc_cable_tray,Cable Tray,EdgeStructure,ceiling,T-ARCHIVE,rect+bezier_x7,Wide tray with 5-7 bezier cable drops
arc_monitor_fallen,Fallen Monitor,EdgeStructure,floor,T-ARCHIVE,poly_trapezoid+poly_screen,Tilted trapezoid monitor with inner screen glow
span_arc_vert,Data Stream,Spanning,vertical,T-ARCHIVE,rect_dotted,Dotted glowing vertical data stream (series of rects)
span_arc_horiz,Cable Bundle,Spanning,horizontal,T-ARCHIVE,line_parallel,Horizontal cable bundle (2-4 wires)
surf_arc_discharge,Static Discharge,SurfaceOverlay,any,T-ARCHIVE,line_zigzag,Electrical discharge zigzag marks (3 segments)
emb_arc_conduit,Data Conduit,Embedded,solid,T-ARCHIVE,rect+line_glow+circle_pulse,Sheathed cable bundle with 4-7 internal wires + 3 pulse dots
void_arc_glyph,Hologram Glyph,VoidFill,void,T-ARCHIVE,line_bracket/hash/chevron,Floating character-like shapes (bracket/hash/angle bracket)
micro_arc_binary,Binary Bit,Micro,any,T-ARCHIVE,circle_outline/line_vert,0-shape (circle outline) or 1-shape (vertical line)
log_pallet_cross,Pallet Cross,EdgeDetail,floor,T-LOGISTICS,rect_crossed,Crossed wooden boards (X pattern plank+verticals)
log_cargo_net,Cargo Net,EdgeDetail,ceiling,T-LOGISTICS,line_diagonal_crossed,Crossed diagonal net lines (3 sections)
log_shipping_sticker,Shipping Sticker,EdgeDetail,wall,T-LOGISTICS,rect+line_diagonal,Rect sticker outline with diagonal stripe
log_container,Container Fragment,EdgeStructure,floor,T-LOGISTICS,rect_large,Large rectangular container outline
log_rail_segment,Rail Segment,EdgeStructure,floor,T-LOGISTICS,line+rect_tie,Horizontal rail with ties
log_crane_arm,Crane Arm,EdgeStructure,ceiling,T-LOGISTICS,line_thick_angled,Thick 2-segment angled crane arm
log_tie_hook,Tie-Down Hook,EdgeStructure,wall,T-LOGISTICS,rect+line_angled,Cargo hook bracket with angled line
span_log_vert,Vertical Rail,Spanning,vertical,T-LOGISTICS,line+rect_brace,Vertical crane rail with evenly-spaced braces
span_log_horiz,Crane Rail,Spanning,horizontal,T-LOGISTICS,line+rect_flange,I-beam horizontal rail with top/bottom flanges
surf_log_grease,Grease Stain,SurfaceOverlay,any,T-LOGISTICS,circle_dark/line_drip,Dark oil stain (floor) / oil drip (wall)
emb_log_roller,Conveyor Roller,Embedded,solid,T-LOGISTICS,roundRect+line_rotation,Horizontal cylinder with 4 rotation lines inside
void_log_chip,Packing Chip,VoidFill,void,T-LOGISTICS,poly_torn,Torn-edge 6-point packing fragment
micro_log_staple,Packing Staple,Micro,any,T-LOGISTICS,line_U,U-shaped wire staple (3 connected lines)
cmd_nav_chevron,Navigation Chevron,EdgeDetail,floor,T-COMMAND,line_chevron+circle_led_x3,Chevron arrow + 3 LED status dots
cmd_bar_graph,Wall Readout,EdgeDetail,wall,T-COMMAND,rect_bar_x4+rect_frame,4 vertical bars of different heights in frame
cmd_targeting_reticle,Targeting Reticle,EdgeDetail,ceiling,T-COMMAND,circle+line_crosshair,Circle with 4-segment crosshair lines
cmd_console_pedestal,Console Pedestal,EdgeStructure,floor,T-COMMAND,rect_outline,Floor-mounted console base outline
cmd_console_panel,Console Panel,EdgeStructure,wall,T-COMMAND,rect+circle_dial_x3,Panel with 3 dial circles
cmd_display_frame,Display Frame,EdgeStructure,wall,T-COMMAND,rect_large,Large empty display frame
cmd_antenna_shard,Antenna Shard,EdgeStructure,ceiling,T-COMMAND,line_diagonal_long,Long thin diagonal antenna line
span_cmd_vert,Antenna+Signal,Spanning,vertical,T-COMMAND,line+circle_ring_x3,Vertical antenna with 3 concentric signal rings
span_cmd_horiz,Comm Line,Spanning,horizontal,T-COMMAND,line,Horizontal communication line
surf_cmd_scan,Scan Lines,SurfaceOverlay,wall,T-COMMAND,line_h_multi,2-4 faint holographic scan lines
emb_cmd_bus,Communication Bus,Embedded,solid,T-COMMAND,rect+line_branch+circle_glow,Thick bar with 2-4 branching taps + glow nodes
mal_spark_scatter,Spark Scatter,EdgeDetail,floor,T-MALFUNCTION,circle_orange_x4,2-4 orange spark particle circles
mal_glitch_bar,Glitch Bar,EdgeDetail,ceiling,T-MALFUNCTION,rect_variable_alpha,Unstable horizontal glitch rectangle
mal_broken_circuit,Broken Circuit,EdgeDetail,wall,T-MALFUNCTION,line_zigzag,3-5 segment zigzag broken circuit
mal_spark_node,Spark Node,EdgeDetail,any,T-MALFUNCTION,circle+line_radial_x4,Central spark circle + 4 radiating lines
mal_error_glyph,Error Glyph,EdgeDetail,wall,T-MALFUNCTION,rect+line_X,Square outline with X cross inside
mal_twisted_panel,Twisted Panel,EdgeStructure,wall,T-MALFUNCTION,poly_deformed,Deformed rect with random vertex offsets
mal_overload_cap,Overload Capacitor,EdgeStructure,floor,T-MALFUNCTION,rect+circle_radial,Square with radial circle outline (orange)
mal_warped_ceiling,Warped Ceiling Panel,EdgeStructure,ceiling,T-MALFUNCTION,poly_deformed,Deformed ceiling panel with random vertices
span_mal_vert,Glitch Zigzag V,Spanning,vertical,T-MALFUNCTION,line_zigzag_vert,Vertical zigzag glitch path
span_mal_horiz,Glitch Zigzag H,Spanning,horizontal,T-MALFUNCTION,line_zigzag_horiz,Horizontal zigzag glitch path
surf_mal_stripe,Glitch Stripe,SurfaceOverlay,any,T-MALFUNCTION,rect_multi_alpha,2-5 horizontal glitch stripes (variable alpha)
emb_mal_knot,Wiring Knot,Embedded,solid,T-MALFUNCTION,line_radial_bent+circle_spark,4-7 tangled bent wires from center + spark circle
void_mal_burst,Spark Burst,VoidFill,void,T-MALFUNCTION,circle+line_radial_x4,Center spark dot + 4 radiating short lines
micro_mal_cross,Spark Cross,Micro,any,T-MALFUNCTION,line_cross+circle_center,Plus-sign cross with center dot
bre_dust_fall,Falling Dust,EdgeDetail,ceiling,T-BREACH,line_thin_x6,3-6 thin vertical dust lines with drift
bre_crack_line,Crack Line,EdgeDetail,any,T-BREACH,line_branching,Branching crack with 3-5 segments and forks
bre_shattered_wall,Shattered Wall,EdgeStructure,wall,T-BREACH,poly_irregular_large,Large irregular fragment (5-8 random vertices)
bre_hanging_slab,Hanging Slab,EdgeStructure,ceiling,T-BREACH,rect+line_support,Filled slab rectangle with hanging support line
bre_rubble_pile,Rubble Pile,EdgeStructure,floor,T-BREACH,poly_multi_x7,Cluster of 4-7 small irregular polygons
span_bre_vert,Structural Crack V,Spanning,vertical,T-BREACH,line_jagged+line_fork,Jagged crack with 30% branch probability per segment
span_bre_horiz,Structural Crack H,Spanning,horizontal,T-BREACH,line_jagged,Jagged horizontal wall-to-wall crack
surf_bre_crack,Crack Network,SurfaceOverlay,any,T-BREACH,line_branching,Branching crack pattern on surface (3-6 segments)
emb_bre_rebar,Exposed Rebar,Embedded,solid,T-BREACH,line_radial_x4,2-4 radiating bent rebar from break point
void_bre_slab,Tumbling Slab,VoidFill,void,T-BREACH,poly_rotated+line_crack,Rotated rectangle slab with crack line across
micro_bre_chip,Shard Chip,Micro,any,T-BREACH,poly_asymmetric_4pt,Asymmetric 4-point polygon chip
cool_condensation,Water Droplets,EdgeDetail,wall,T-COOLANT,circle_tiny_x10,5-10 tiny translucent water droplets
cool_frost_patch,Frost Patch,EdgeDetail,floor,T-COOLANT,poly_irregular_translucent,Translucent irregular frost shape
cool_drip_line,Drip Line,EdgeDetail,ceiling,T-COOLANT,line+circle_end,Thin drip line with droplet circle at end
cool_coil_segment,Cooling Coil,EdgeStructure,wall,T-COOLANT,arc_spiral_x3,3 alternating arc spirals forming coil
cool_valve_cluster,Valve,EdgeStructure,wall,T-COOLANT,circle+line_cross_handle,Circle outline with cross handle lines
cool_tank_fragment,Coolant Tank,EdgeStructure,floor,T-COOLANT,roundRect_outline,Rounded rectangular tank outline
cool_ceiling_pipe,Ceiling Pipe,EdgeStructure,ceiling,T-COOLANT,roundRect_filled,Horizontal distribution pipe (filled)
span_cool_vert,Dripping Pipe,Spanning,vertical,T-COOLANT,line+circle_drip,Vertical pipe with condensation drips alongside
span_cool_horiz,Joint Pipe,Spanning,horizontal,T-COOLANT,line+rect_joint,Horizontal pipe with rect joint spacers
surf_cool_drip,Drip Trail,SurfaceOverlay,any,T-COOLANT,line+circle_end,Condensation streak lines with ending droplet circles
emb_cool_pipe,Embedded Coolant Pipe,Embedded,solid,T-COOLANT,roundRect_vert,Vertical pipe through solid wall
void_cool_puff,Steam Puff,VoidFill,void,T-COOLANT,circle_overlap_x3,3 overlapping translucent circles (cloud shape)
micro_cool_streak,Water Streak,Micro,any,T-COOLANT,circle_elongated_x2,2 vertically overlapping circles (elongated droplet)
echo_float_shard,Float Shard,EdgeDetail,ceiling,T-ECHO,poly_5pt_glow,Glowing translucent 5-sided polygon
echo_void_tendril,Void Tendril,EdgeDetail,ceiling,T-ECHO,bezier_long,Long curved abstract tendril (bezier)
echo_glitch_stripe,Glitch Stripe,EdgeDetail,wall,T-ECHO,rect_h_translucent,Horizontal translucent thin stripe (variable alpha)
echo_data_dust,Data Dust,EdgeDetail,any,T-ECHO,circle_tiny_x16,8-16 tiny translucent scattered circles
echo_resonance_crystal,Resonance Crystal,EdgeStructure,floor,T-ECHO,poly_hexagon+stroke,Translucent hexagon (6 vertices at 60 deg) filled + stroked
echo_memory_node,Memory Node,EdgeStructure,wall,T-ECHO,circle_large+line_radial_x4,Large filled circle with 4 radial lines
echo_ceiling_fragment,Echo Fragment,EdgeStructure,ceiling,T-ECHO,poly_triangle_glow,Triangular glowing fragment filled + stroked
span_echo_vert,Void Tendril Span,Spanning,vertical,T-ECHO,bezier_undulating+circle_x3,Undulating bezier tendril with 3 glow node circles
span_echo_horiz,Resonance Wave,Spanning,horizontal,T-ECHO,bezier_drift,Horizontal undulating bezier resonance line
surf_echo_ripple,Ripple Marks,SurfaceOverlay,any,T-ECHO,circle_concentric_x3,3 concentric ripple ring outlines
emb_echo_node,Resonance Node,Embedded,solid,T-ECHO,circle_concentric_x3+circle_core,3 concentric ring outlines with filled glowing core
void_echo_constellation,Diamond Constellation,VoidFill,void,T-ECHO,poly_diamond_x4+line_connect,3-4 diamonds connected by lines
micro_echo_diamond,Glowing Diamond,Micro,any,T-ECHO,poly_diamond,45-degree rotated square (diamond shape)
